,video_link,video_views,upload_date,comments,likes,dislikes
223,https://www.youtube.com/watch?v=7W0J-sedV5A,575,2012-11-10T03:41:12Z,2,10,0
224,https://www.youtube.com/watch?v=7W0J-DVruEs,45,2019-02-17T19:05:21Z,0,3,0
225,https://www.youtube.com/watch?v=7W0J-yk3GRU,74,2015-11-01T21:19:11Z,0,4,0
226,https://www.youtube.com/watch?v=7w0j-zW7x5I,145,2013-07-28T10:59:06Z,0,2,1
227,https://www.youtube.com/watch?v=7W0j--cTcSU,68,2008-10-31T00:06:04Z,1,0,0
228,https://www.youtube.com/watch?v=7W0j-MCW7ec,8,2020-01-27T18:09:34Z,0,2,0
229,https://www.youtube.com/watch?v=7w0J-bIyNeA,55,2014-04-12T18:04:46Z,0,2,0
230,https://www.youtube.com/watch?v=7w0j-Pun794,3,2016-05-03T02:04:23Z,0,0,0
231,https://www.youtube.com/watch?v=7W0J-WwnCtY,0,2020-06-22T14:25:18Z,0,0,0
232,https://www.youtube.com/watch?v=7w0J-4mk9sQ,15,2019-12-16T01:09:00Z,1,3,0
233,https://www.youtube.com/watch?v=7w0J-bAVSos,17,2017-12-07T17:22:56Z,0,0,0
234,https://www.youtube.com/watch?v=xdm0famvu9Y,512,2014-02-17T22:03:32Z,8,8,3
235,https://www.youtube.com/watch?v=W4xLelclnSc,686384,2019-01-11T18:20:54Z,10570,20936,1962
236,https://www.youtube.com/watch?v=SXckr46ZJXc,40973,2020-04-01T04:32:39Z,0,1188,100
237,https://www.youtube.com/watch?v=VMARLukUnAY,8621,2020-07-21T19:08:41Z,0,1238,188
238,https://www.youtube.com/watch?v=ttyM-du0Q-g,8,2020-06-04T09:23:41Z,1,1,0
239,https://www.youtube.com/watch?v=Z3JrjY-du0Q,17,2020-04-05T00:05:59Z,0,1,0
240,https://www.youtube.com/watch?v=dU0Q-zwRuk0,3240,2019-09-18T14:37:23Z,0,38,2
241,https://www.youtube.com/watch?v=7YdxeVCGr4k,765051,2020-07-16T07:00:10Z,0,22028,3259
242,https://www.youtube.com/watch?v=dU0q-pti2JA,101,2019-10-25T13:48:56Z,66,32,0
243,https://www.youtube.com/watch?v=HlLQ-6gfbrI,216,2018-08-11T07:54:34Z,4,20,0
244,https://www.youtube.com/watch?v=CBrbAMJ1z4M,12611,2020-06-25T19:43:29Z,166,1060,152
245,https://www.youtube.com/watch?v=srrbehpkTOc,48852,2020-07-04T08:10:57Z,0,1925,792
246,https://www.youtube.com/watch?v=JXxE3guzOHY,6607,2020-07-22T20:03:40Z,0,634,50
247,https://www.youtube.com/watch?v=JZYEnbGOc3E,34062,2020-07-07T08:06:19Z,0,1509,824
248,https://www.youtube.com/watch?v=6v3Ige-DU0Q,112,2020-04-21T21:35:44Z,1,6,0
249,https://www.youtube.com/watch?v=eEsj-u-DU0Q,4713,2013-08-06T16:06:36Z,1,31,0
250,https://www.youtube.com/watch?v=ngCszzK9Kcc,15895,2020-04-04T03:17:35Z,0,802,157
251,https://www.youtube.com/watch?v=LK8M5l7_k74,1472737,2020-04-17T19:55:01Z,0,19499,3227
252,https://www.youtube.com/watch?v=D8-WwH7929c,95960,2020-05-25T13:23:23Z,0,2596,404
253,https://www.youtube.com/watch?v=hFFwwhN61Ys,13164,2020-07-15T07:00:11Z,0,682,80
254,https://www.youtube.com/watch?v=tsE-Du0q-Co,52586,2020-02-18T01:14:52Z,116,55,650
255,https://www.youtube.com/watch?v=JJ_d-f9hVqI,9634,2020-06-16T12:13:25Z,0,602,122
256,https://www.youtube.com/watch?v=M6fEeobw63o,1146489,2020-02-24T12:00:11Z,0,14399,4417
257,https://www.youtube.com/watch?v=_3rP7cxv2ew,8706,2020-04-09T05:54:00Z,0,464,39
258,https://www.youtube.com/watch?v=KiJKHtKaNQs,3514,2020-03-31T04:15:09Z,0,164,21
259,https://www.youtube.com/watch?v=IYEX3ylyTbY,9962,2020-04-26T20:31:20Z,0,398,172
260,https://www.youtube.com/watch?v=hXBpwY-Du0Q,1,2020-02-27T03:19:35Z,0,1,0
261,https://www.youtube.com/watch?v=Du0Q-erDKM8,48,2018-07-31T16:49:22Z,0,4,0
